分隊名稱,經度,緯度
華山分隊,302552,2771114
忠孝分隊,303184,2770719
泉州分隊,301717,2768601
古亭分隊,304261,2767180
城中分隊,301807,2771075
雙園分隊,300004,2769060
龍山分隊,300387,2770144
萬芳分隊,307177,2766126
景美分隊,304631,2765034
木柵分隊,306876,2764656
寶橋分隊,306021,2763666
金華分隊,303258,2769481
安和分隊,305731,2769536
復興分隊,304827,2769217
南港分隊,311271,2771970
舊莊分隊,312085,2770911
成德分隊,309199,2771200
信義分隊,307391,2770418
永吉分隊,307433,2770941
莊敬分隊,307040,2769197
大直分隊,306157,2774755
松江分隊,303875,2771146
建國分隊,304063,2773398
搜救犬訓練基地,305426,2773920
圓山分隊,303386,2773471
八德分隊,306804,2771272
中崙分隊,305076,2771247
東湖分隊,311835,2773391
大湖分隊,310690,2775204
內湖分隊,309559,2773607
民權分隊,308283,2773311
建成分隊,302289,2771942
延平分隊,301597,2771439
大同分隊,301831,2772685
山仔后分隊,305021,2780715
天母分隊,303737,2779758
福安分隊,300097,2776542
社子分隊,301597,2774636
劍潭分隊,303223,2775843
雙溪分隊,304937,2776701
後港分隊,302255,2775551
陽明山分隊,305111,2782678
光明分隊,300664,2780842
關渡分隊,297059,2779489
石牌分隊,302127,2778941
秀山分隊,299695,2781960
